STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT16,WT18,WT21,WV01
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-01,,0,0,0,42,26,11.4,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-02,,0,0,0,41,31,32.2,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-03,,0,0,0,36,28,20.8,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-04,,0,0,0,30,20,21.9,,,,,,,,,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-05,,0.09,3,2,29,25,36.7,1,,,,,,,,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-06,,0,0,2,28,17,26.4,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-07,,0,0,0,39,28,39.1,,,,1,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-08,,0,0,0,36,31,31.1,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-09,,0,0,0,32,27,20.8,,,,,,,,,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-10,,0,0,0,35,23,21.9,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-11,,0.45,0,0,53,35,52.8,1,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-12,,0.16,0,0,50,26,46.1,1,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-13,,0,0,0,32,20,20.8,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-14,,0,0,0,54,31,28.9,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-15,,0,0,0,51,37,39.1,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-16,,0,0,0,45,32,28.9,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-17,,0,0,0,40,32,17.2,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-18,,0.56,0,0,41,36,16.1,1,,,,,,,1,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-19,,0.08,0,0,44,38,33.3,1,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-20,,0,0,0,40,29,33.3,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-21,,0,0,0,38,27,31.1,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-22,,0.21,0,0,41,30,24.2,,,,,,,,1,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-23,,0,0,0,42,25,32.2,,,,,,,,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-24,,0,0,0,25,20,43.6,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-25,,0,0,0,31,21,21.9,1,,,,,,,,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-26,,0,0,0,35,24,30,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-27,,0,0,0,35,25,21.9,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-28,,0,0,0,37,28,27.5,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-29,,0,0,0,31,25,28.9,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-30,,0,0,0,28,17,32.2,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-01-31,,0,0,0,26,14,27.5,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-01,,0,0,0,24,10,34.4,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-02,,0,0,0,27,14,39.1,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-03,,0,0,0,29,14,30,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-04,,0,0,0,31,19,24.2,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-05,,0,0,0,33,17,24.2,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-06,,0,0,0,30,14,28.9,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-07,,0,0,0,33,28,38,,,,,,,,,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-08,,0,0,0,41,24,25.3,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-09,,0,0,0,32,23,19.5,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-10,,0,0,0,35,23,33.3,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-11,,0,0,0,37,20,25.3,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-12,,0,0,0,37,26,31.1,,,,,,,,,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-13,,0,0,0,38,26,24.2,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-14,,0,0,0,44,25,27.5,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-15,,0.01,0,0,36,29,26.4,1,,,,,,,,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-16,,0.75,1.3,1,40,23,35.6,1,,,,,,,,,,,,1,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-17,,0,0,0,27,19,32.2,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-18,,0,0,0,32,18,27.5,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-19,,0,0,0,41,26,21.9,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-20,,0,0,0,45,25,11.4,1,,,,,,,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-21,,0,0,0,56,32,21.9,1,,,,,,,1,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-22,,0.3,1,0,38,31,28.9,1,,1,,,,,,,,,,1,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-23,,0,0,0,49,34,23,1,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-24,,0,0,0,49,36,24.2,,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-25,,0,0,0,41,30,17.2,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-26,,0,0,0,32,16,41.4,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-27,,0,0,0,36,16,38,,,,,,,,,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-28,,0,0,0,30,22,36.7,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-02-29,,0,0,0,22,9,38,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-01,,0,0,0,24,8,31.1,,,,,,,,,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-02,,0,0,0,26,12,32.2,,,,,,,,,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-03,,0,0,0,40,15,36.7,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-04,,0,0,0,46,26,27.5,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-05,,0.11,0,0,43,33,31.1,1,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-06,,0,0,0,44,32,34.4,1,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-07,,0.01,0,0,47,33,21.9,1,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-08,,0.16,0,0,45,39,34.4,1,,1,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-09,,0,0,0,50,30,32.2,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-10,,0.73,0,0,47,30,32.2,1,,1,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-11,,0.41,0,0,46,30,46.1,1,,1,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-12,,0,0,0,36,22,39.1,,,,,,,,,,,,,,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-13,,0.58,2.3,0,33,21,43.6,1,,,1,,1,,,,,,,1,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-14,,0.16,0.2,1,40,32,51.7,1,,,1,,,,,,,,,1,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-15,,0,0,0,42,31,43.6,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-16,,0,0,0,40,25,27.5,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-17,,0.14,0,0,53,35,36.7,1,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-18,,0.11,0,0,49,37,43.6,1,1,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-19,,0,0,0,53,33,30,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-20,,0,0,0,48,36,21.9,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-21,,1.63,0,0,49,41,51.7,1,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-22,,0.86,0,0,41,35,46.1,1,,,,,,,,,,,,1,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-23,,0,0,0,55,34,25.3,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-24,,0.35,0,0,50,34,23,,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-25,,0.74,0,0,42,36,30,,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-26,,0,0,0,49,37,25.3,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-27,,0,0,0,53,37,24.2,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-28,,0,0,0,51,37,20.8,,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-29,,0.88,0,0,52,46,26.4,1,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-30,,0.01,0,0,59,47,25.3,1,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-03-31,,1.29,0.7,0,48,34,34.4,1,,,,,,,,,,,,1,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-01,,0.04,0,0,52,33,28.9,1,,,,,,,,,,,,1,1,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-02,,0,0,0,49,37,18.3,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-03,,0,0,0,58,42,25.3,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-04,,0.57,0,0,56,45,34.4,1,1,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-05,,0,0,0,58,44,38,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-06,,0,0,0,61,45,23,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-07,,0,0,0,56,44,27.5,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-08,,0.03,0,0,57,46,27.5,1,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-09,,3.15,0,0,55,50,44.7,1,,1,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-10,,0.16,0,0,63,50,21.9,1,1,1,,,,,1,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-11,,0,0,0,62,52,30,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-12,,0,0,0,57,49,36.7,,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-13,,0,0,0,66,52,23,,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-14,,0.54,0,0,55,45,32.2,1,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-15,,0.02,0,0,63,49,35.6,1,1,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-16,,0,0,0,49,35,33.3,,,,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-17,,0,0,0,53,33,27.5,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-18,,0,0,0,59,45,20.8,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-19,,0,0,0,58,45,21.9,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-20,,0.02,0,0,60,45,34.4,,,1,,,,,,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-21,,0,0,0,71,54,28.9,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-22,,0,0,0,58,45,27.5,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-23,,0,0,0,67,46,27.5,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-24,,0,0,0,64,47,26.4,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-25,,0,0,0,60,50,24.2,1,,,,,,,1,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-26,,0.02,0,0,60,48,21.9,1,,,,,,,1,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-27,,0.27,0,0,53,50,36.7,1,,1,,,,,1,,,,,1,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1980-04-28,,2.71,0,0,52,48,43.6,1,,,,,,,,,,,,1,,,
